catalogue,category,treatment,slug,slot,sort_order,url,storage,duplicate_count,issue
treatment,"Peels & Resurfacing","Scar Revision","scar-revision",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/scar-revision/scar-revision-gallery-0-0e4231e52747.avif",s3,1,""
treatment,"Peels & Resurfacing","Scar Revision","scar-revision",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/scar-revision/scar-revision-gallery-1-b9d1f7f91c62.avif",s3,1,""
treatment,"Peels & Resurfacing","Scar Revision","scar-revision",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/scar-revision/scar-revision-gallery-2-33f81bd76320.avif",s3,1,""
treatment,"Skin Health","Pigmentation Treatment","pigmentation",HERO,0,"https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Skin Health","Pigmentation Treatment","pigmentation",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/pigmentation/pigmentation-gallery-0-b79409b8824f.avif",s3,1,""
treatment,"Skin Health","Pigmentation Treatment","pigmentation",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/pigmentation/pigmentation-gallery-1-2f8d65e5e96a.avif",s3,1,""
treatment,"Skin Health","Pigmentation Treatment","pigmentation",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/pigmentation/pigmentation-gallery-2-ac4ac37a78cc.avif",s3,1,""
treatment,"Skin Health","Acne Treatment","acne-treatment",HERO,0,"https://images.unsplash.com/photo-1728727267814-792db55ce678?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Skin Health","Acne Treatment","acne-treatment",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/acne-treatment/acne-treatment-gallery-0-0eac2b814a1a.avif",s3,1,""
treatment,"Skin Health","Acne Treatment","acne-treatment",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/acne-treatment/acne-treatment-gallery-1-1155b38a2205.avif",s3,1,""
treatment,"Skin Health","Acne Treatment","acne-treatment",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/acne-treatment/acne-treatment-gallery-2-20b49806129a.avif",s3,1,""
treatment,"Skin Health","Rosacea Management","rosacea-treatment",HERO,0,"https://images.unsplash.com/photo-1648203276014-20f97ba1f817?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Skin Health","Rosacea Management","rosacea-treatment",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/rosacea-treatment/rosacea-treatment-gallery-0-cf7ca0d0d1a8.avif",s3,1,""
treatment,"Skin Health","Rosacea Management","rosacea-treatment",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/rosacea-treatment/rosacea-treatment-gallery-1-12772f25a220.avif",s3,1,""
treatment,"Skin Health","Rosacea Management","rosacea-treatment",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/rosacea-treatment/rosacea-treatment-gallery-2-b80812fb2f1e.avif",s3,1,""
treatment,"Skin Health","Melasma Treatment","melasma-treatment",HERO,0,"https://images.unsplash.com/photo-1693004927824-f2623bbedc8b?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Skin Health","Melasma Treatment","melasma-treatment",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/melasma-treatment/melasma-treatment-gallery-0-bbbd8278b8a5.avif",s3,1,""
treatment,"Skin Health","Melasma Treatment","melasma-treatment",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/melasma-treatment/melasma-treatment-gallery-1-23059f82b933.avif",s3,1,""
treatment,"Skin Health","Melasma Treatment","melasma-treatment",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/melasma-treatment/melasma-treatment-gallery-2-c3cd367fea9b.avif",s3,1,""
treatment,"Skin Health","Anti-Ageing Program","anti-aging-program",HERO,0,"https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Skin Health","Anti-Ageing Program","anti-aging-program",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/anti-aging-program/anti-aging-program-gallery-0-d18ffef3a1a9.avif",s3,1,""
treatment,"Skin Health","Anti-Ageing Program","anti-aging-program",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/anti-aging-program/anti-aging-program-gallery-1-f909f64e824a.avif",s3,1,""
treatment,"Skin Health","Anti-Ageing Program","anti-aging-program",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/anti-aging-program/anti-aging-program-gallery-2-01cb0711b4a8.avif",s3,1,""
treatment,"Skin Health","Collagen Biostimulators","collagen-biostimulators",HERO,0,"https://images.pexels.com/photos/3762756/pexels-photo-3762756.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Skin Health","Collagen Biostimulators","collagen-biostimulators",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/collagen-biostimulators/collagen-biostimulators-gallery-0-e9497d29e226.avif",s3,1,""
treatment,"Skin Health","Collagen Biostimulators","collagen-biostimulators",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/collagen-biostimulators/collagen-biostimulators-gallery-1-cd2c0d3a9025.avif",s3,1,""
treatment,"Skin Health","Collagen Biostimulators","collagen-biostimulators",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/collagen-biostimulators/collagen-biostimulators-gallery-2-e085687d2317.avif",s3,1,""
treatment,"Skin Health","Exosome Therapy","exosome-therapy",HERO,0,"https://images.pexels.com/photos/8533080/pexels-photo-8533080.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Skin Health","Exosome Therapy","exosome-therapy",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/exosome-therapy/exosome-therapy-gallery-0-f5b3c491beca.avif",s3,1,""
treatment,"Skin Health","Exosome Therapy","exosome-therapy",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/exosome-therapy/exosome-therapy-gallery-1-3b79de916d0f.avif",s3,1,""
treatment,"Skin Health","Exosome Therapy","exosome-therapy",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/exosome-therapy/exosome-therapy-gallery-2-5dc88053ee40.avif",s3,1,""
treatment,"Skin Health","IV & Wellness Drips","iv-wellness-drips",HERO,0,"https://images.pexels.com/photos/4421486/pexels-photo-4421486.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Skin Health","IV & Wellness Drips","iv-wellness-drips",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/iv-wellness-drips/iv-wellness-drips-gallery-0-24828cf32b3e.avif",s3,1,""
treatment,"Skin Health","IV & Wellness Drips","iv-wellness-drips",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/iv-wellness-drips/iv-wellness-drips-gallery-1-9af25e59825b.avif",s3,1,""
treatment,"Skin Health","IV & Wellness Drips","iv-wellness-drips",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/iv-wellness-drips/iv-wellness-drips-gallery-2-2f70deff4f7e.avif",s3,1,""
treatment,"Skin Health","Numbing & Adjuncts","numbing-adjuncts",HERO,0,"https://images.pexels.com/photos/5240619/pexels-photo-5240619.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Skin Health","Numbing & Adjuncts","numbing-adjuncts",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/numbing-adjuncts/numbing-adjuncts-gallery-0-284fb9754806.avif",s3,1,""
treatment,"Skin Health","Numbing & Adjuncts","numbing-adjuncts",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/numbing-adjuncts/numbing-adjuncts-gallery-1-95ccf52d1b09.avif",s3,1,""
treatment,"Skin Health","Numbing & Adjuncts","numbing-adjuncts",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/numbing-adjuncts/numbing-adjuncts-gallery-2-de9db8ae8f84.avif",s3,1,""
treatment,"Skin Health","Cosmeceuticals & Skincare","cosmeceuticals",HERO,0,"https://images.pexels.com/photos/6167446/pexels-photo-6167446.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Skin Health","Cosmeceuticals & Skincare","cosmeceuticals",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/cosmeceuticals/cosmeceuticals-gallery-0-a58d5081fb7f.avif",s3,1,""
treatment,"Skin Health","Cosmeceuticals & Skincare","cosmeceuticals",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/cosmeceuticals/cosmeceuticals-gallery-1-3b0d41159495.avif",s3,1,""
treatment,"Skin Health","Cosmeceuticals & Skincare","cosmeceuticals",GALLERY,2,"https://images.pexels.com/photos/3785147/pexels-photo-3785147.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Hair Restoration","PRP Hair Restoration","prp-hair",HERO,0,"https://images.pexels.com/photos/28994388/pexels-photo-28994388.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Hair Restoration","PRP Hair Restoration","prp-hair",GALLERY,0,"https://images.pexels.com/photos/9755382/pexels-photo-9755382.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Hair Restoration","PRP Hair Restoration","prp-hair",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/prp-hair/prp-hair-gallery-1-8986ee2300e9.avif",s3,1,""
treatment,"Hair Restoration","PRP Hair Restoration","prp-hair",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/prp-hair/prp-hair-gallery-2-4b2e1352689f.avif",s3,1,""
